question,gold_answer,answer,chunking_strategy,recall_at_k,precision_at_k,hit_rate,answer_correctness,faithfulness,hallucination,hallucination_type,latency_sec
What type of education group is Amity Education Group?,one of India's leading private non-profit education groups,Amity Education Group is one of India's leading private non-profit education groups.,fixed,0.0,0.0,0.0,1.0,1.0,0.0,no_hallucination,5.304
From which level to which level does Amity offer education?,right from pre-school to post-doctoral level,Amity offers globally benchmarked education right from pre-school to post-doctoral level.,fixed,0.0,0.0,0.0,1.0,1.0,0.0,no_hallucination,2.196
How many students does Amity have?,"over 2,00,000 students","Amity has over 2,00,000 students.",fixed,0.0,0.0,0.0,1.0,1.0,0.0,no_hallucination,2.073
How many alumni are part of Amity Education Group?,"7,00,000 alumni","Amity Education Group has over 7,00,000 alumni.",fixed,0.0,0.0,0.0,1.0,1.0,0.0,no_hallucination,3.022
How many faculty members and scientists does Amity have?,"6,000 faculty members and scientists","Amity has 6,000 faculty members and scientists.",fixed,0.0,0.0,0.0,1.0,1.0,0.0,no_hallucination,1.928
How many universities does Amity operate in India?,12 Universities,"Amity operates 12 universities in India, located in the states of Uttar Pradesh, Haryana, Madhya Pradesh, Rajasthan, Jharkhand, West Bengal, Maharashtra, Bihar, Punjab, Chhattisgarh, Hyderabad, and Karnataka.",fixed,1.0,0.2,1.0,1.0,1.0,0.0,no_hallucination,2.719
Who is the Founder President of Amity Education Group?,Dr. Ashok K. Chauhan,"Amityâ€™s growth and excellence are inspired by the visionary leadership of its founder president, Dr. Ashok K. Chauhan.",fixed,1.0,0.2,1.0,1.0,1.0,0.0,no_hallucination,3.262
Who is the Chancellor of Amity University?,Dr. Atul Chauhan,"Under the dynamic leadership of chancellor dr. atul chauhan, Amity.",fixed,1.0,0.2,1.0,1.0,1.0,0.0,no_hallucination,2.801
What education system does AUUP follow?,Fully Flexible Choice Based Credit System,AUUP has implemented a fully flexible choice based credit system with outcome based education (OBE) that imparts interdisciplinary and multidisciplinary education. The university also follows the semester system and a credit hours system.,fixed,1.0,0.4,1.0,1.0,1.0,0.0,no_hallucination,3.106
What does OBE stand for?,Outcome Based Education,OBE stands for outcome based education.,fixed,1.0,0.2,1.0,1.0,1.0,0.0,no_hallucination,1.965
How long does each semester last?,15-18 weeks of teaching and learning,"A single semester lasts 15 to 18 weeks, with a minimum of 15 weeks of teaching.",fixed,0.0,0.0,0.0,0.0,1.0,0.0,no_hallucination,3.317
What is a credit hour defined as?,one hour of instruction per week over the entire semester of minimum 15 weeks,The information is not available in the document.,fixed,0.0,0.0,0.0,0.0,1.0,0.0,no_hallucination,9.435
Which policy outlines key features for higher education in India?,National Education Policy 2020,The National Education Policy 2020 (NEP 2020) outlines several key features for higher education in India.,fixed,1.0,0.2,1.0,1.0,1.0,0.0,no_hallucination,2.539
